batchId,process,start,stop
H423F01,mt1,2024-12-10T00:00:00+00:00,2024-12-10T01:48:31+00:00
H423F01,mt2,2024-12-10T01:48:31+00:00,2024-12-10T03:22:31+00:00
JFJO4NF,mt1,2024-12-10T01:48:31+00:00,2024-12-10T03:54:31+00:00
JFJO4NF,mt2,2024-12-10T03:54:31+00:00,2024-12-10T05:34:31+00:00
FJ39DD3,mt1,2024-12-10T03:54:31+00:00,2024-12-10T06:21:31+00:00
FJ39DD3,mt2,2024-12-10T06:21:31+00:00,2024-12-10T08:09:31+00:00
FJK220F,mt1,2024-12-10T06:21:31+00:00,2024-12-10T09:41:31+00:00
FJK220F,mt2,2024-12-10T09:41:31+00:00,2024-12-10T12:24:31+00:00
AKFE2EV,mt1,2024-12-10T10:00:00+00:00,2024-12-10T11:48:31+00:00
AKFE2EV,mt2,2024-12-10T11:48:31+00:00,2024-12-10T13:22:31+00:00
FKOE930,mt1,2024-12-10T11:48:31+00:00,2024-12-10T13:54:31+00:00
FKOE930,mt2,2024-12-10T13:54:31+00:00,2024-12-10T15:34:31+00:00
FE303FV,mt1,2024-12-10T13:54:31+00:00,2024-12-10T16:21:31+00:00
FE303FV,mt2,2024-12-10T16:21:31+00:00,2024-12-10T18:09:31+00:00
03FEJ53,mt1,2024-12-10T20:21:31+00:00,2024-12-10T22:41:31+00:00
03FEJ53,mt2,2024-12-10T22:41:31+00:00,2024-12-10T23:54:31+00:00
